"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,6.44607745474247,,
"EST","Estonia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,6.15946717680417,,
"EST","Estonia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,5.72207044076249,,
"LUX","Luxembourg","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,13.6021368699342,,
"LUX","Luxembourg","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,13.8265663419131,,
"LUX","Luxembourg","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,13.9541991079031,,
"LUX","Luxembourg","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,13.5632391145786,,
"HUN","Hungary","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,5.71588970076589,,
"HUN","Hungary","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,5.97724779864877,,
"HUN","Hungary","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,5.81925383446035,,
"HUN","Hungary","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,6.16204138035835,,
"GBR","United Kingdom","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,11.4552484386713,,
"GBR","United Kingdom","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,11.9958914771387,,
"GBR","United Kingdom","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,12.0735996629439,,
"GBR","United Kingdom","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,11.8002662947795,,
"NLD","Netherlands","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,12.8506650208303,,
"NLD","Netherlands","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,13.0100009378797,,
"NLD","Netherlands","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,12.8693728601168,,
"NLD","Netherlands","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,12.0289467943393,,
"CAN","Canada","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,11.2957587954816,,
"CAN","Canada","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,11.5016223847378,,
"CAN","Canada","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,11.3845332025289,,
"CAN","Canada","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,11.1245052492568,,
"TUR","Türkiye","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,6.8608666949672,,
"TUR","Türkiye","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,7.02914375809717,,
"TUR","Türkiye","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,7.14452503166023,,
"TUR","Türkiye","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,8.81243086987132,,
"MEX","Mexico","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,1.28845216695208,,
"MEX","Mexico","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,1.49539664911857,,
"MEX","Mexico","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,1.62710059361847,,
"MEX","Mexico","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,1.83974541422676,,
"SVK","Slovak Republic","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,5.34170156173434,,
"SVK","Slovak Republic","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,5.91521099004456,,
"SVK","Slovak Republic","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,6.16511892518549,,
"SVK","Slovak Republic","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,5.66529844364631,,
"ISR","Israel","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,7.3006771030535,,
"ISR","Israel","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,7.3458106716496,,
"ISR","Israel","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,7.23398551054148,,
"ISR","Israel","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,7.02925288041271,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,10.3221017805772,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,10.6737973731057,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,10.5311392169097,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,10.0557856681112,,
"AUS","Australia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,13.861185596832,,
"AUS","Australia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,14.0739108970574,,
"AUS","Australia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,13.9742125212247,,
"AUS","Australia","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,13.6122073962705,,
"GRC","Greece","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,6.28584220621461,,
"GRC","Greece","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,6.41832308074576,,
